XCoord,YCoord,A,P
-1.50612500,54.70387500,448.504456,87.891318
-1.50587500,54.70387500,448.504455,87.891318
-1.50550000,54.70387500,897.008911,120.123603
-1.50487500,54.70387500,1345.513366,152.355888
-1.50862500,54.70350000,2691.051389,208.015807
-1.50800000,54.70350000,1794.034259,175.783224
-1.50762500,54.70350000,897.017129,143.550642
-1.50725000,54.70350000,1794.034259,175.783224
-1.50687500,54.70350000,897.017129,143.550642
-1.50662500,54.70350000,897.017129,143.550642
-1.50625000,54.70350000,1794.034259,175.783224
-1.50587500,54.70350000,897.017129,143.550642
-1.50550000,54.70350000,1794.034259,175.783224
-1.50487500,54.70350000,2691.051389,208.015807
-1.50862500,54.70312500,1345.538022,152.357665
-1.50800000,54.70312500,897.025348,120.124786
-1.50762500,54.70312500,448.512674,87.891906
-1.50725000,54.70312500,897.025348,120.124786
-1.50675000,54.70312500,897.025348,120.124786
-1.50587500,54.70312500,448.512674,87.891906
-1.50550000,54.70312500,897.025348,120.124786
-1.50487500,54.70312500,1345.538022,152.357665
-1.50437500,54.70312500,448.512674,87.891906
-1.50762500,54.70287500,448.515414,87.892102
-1.50725000,54.70287500,897.030827,120.125180
-1.50675000,54.70287500,897.030827,120.125180
-1.50550000,54.70287500,897.030827,120.125180
-1.50487500,54.70287500,1345.546241,152.358258
-1.50437500,54.70287500,448.515414,87.892102
-1.25513013,54.70138013,306.927191,84.401523
-1.25487500,54.70112500,448.534589,87.893473
-1.25450000,54.70112500,897.069179,120.127938
-1.25400000,54.70087500,897.074658,120.128333
-1.25085677,54.70087500,287.344227,77.631370
-1.25062500,54.70087500,448.537329,87.893669
-1.25039323,54.70087500,287.344226,77.631370
-1.24988013,54.70088013,306.930940,84.401833
-1.25362500,54.70062500,448.540069,87.893865
-1.37275000,54.70025000,1794.176710,175.788318
-1.37225000,54.70025000,1794.176709,175.788318
-1.37369368,54.69987500,521.262169,107.753367
-1.37325000,54.69987500,897.096573,120.129909
-1.37275000,54.69987500,897.096573,120.129909
-1.37237500,54.69987500,448.548286,87.894453
-1.37200000,54.69987500,897.096573,120.129909
-1.37150000,54.69987500,897.096573,120.129909
-1.37187500,54.69962500,448.551026,87.894649
-1.37162500,54.69962500,448.551026,87.894649
-1.37137500,54.69962500,448.551026,87.894649
-1.37100000,54.69962500,897.102052,120.130303
-1.36500000,54.69961627,625.819708,116.316211
-1.37162500,54.69937500,448.553765,87.894844
