XCoord,YCoord,A,P
-1.96955626,57.58825300,107.505071,41.500341
-1.97048452,57.58786373,322.521031,83.001353
-1.90448829,57.58768407,645.045224,125.984864
-1.90173346,57.58775893,645.043907,125.984825
-1.90258686,57.58762418,161.260073,52.246495
-1.90494493,57.58751189,215.016284,72.255950
-1.90299110,57.58753435,107.508375,41.500986
-1.96807404,57.58744452,53.754020,30.754978
-1.90523689,57.58730977,430.033742,83.002012
-1.90562616,57.58714508,322.527353,83.002196
-1.98832533,57.58694146,2956.513470,241.227297
-1.97218062,57.58659754,376.289228,83.003064
-1.97296986,57.58645637,107.510340,41.501395
-1.99193248,57.58643187,1182.622903,163.039774
-1.97377834,57.58591738,107.511920,41.501711
-1.97216137,57.58551314,215.027408,61.511185
-1.84278152,57.58540085,215.026869,72.257698
-1.84126149,57.58563879,4246.778542,387.231713
-1.88457563,57.58515382,430.060227,83.004660
-1.97044955,57.58532845,14406.914267,777.795380
-1.97587591,57.58485288,3225.472788,376.490714
-1.97289928,57.58480091,376.305871,83.004949
-1.91038723,57.58480946,322.547900,83.004936
-1.84515243,57.58472391,752.612725,123.023286
-1.84437603,57.58474957,53.757373,30.755644
-1.97405105,57.58461803,1505.229797,201.219259
-1.91377088,57.58456991,107.515871,41.502501
-1.93955253,57.58421058,107.516925,41.502712
-1.88257553,57.58457208,8923.873637,599.561966
-1.87698043,57.58440356,4354.437376,373.524509
-1.95714828,57.58417690,430.070488,93.752597
-1.84096243,57.58397317,1505.256270,195.283230
-1.97692245,57.58407584,430.071674,83.005805
-1.95742900,57.58398601,215.036364,61.512075
-1.87532299,57.58394109,107.518912,41.503093
-1.84424128,57.58394109,107.518912,41.503093
-1.93506095,57.58376143,107.519439,41.503198
-1.84415145,57.58367160,215.037010,62.997048
-1.94848178,57.58354583,537.597961,104.500510
-1.90101480,57.58358176,215.039931,62.997377
-1.84454072,57.58355182,322.558963,83.006411
-1.94911959,57.58340210,53.759947,30.756260
-1.93953300,57.58330446,2472.965943,304.241060
-1.93551011,57.58340210,215.040985,62.997588
-1.93419258,57.58334221,322.562004,83.006897
-1.84406162,57.58335719,215.041248,61.512665
-1.84091751,57.58340210,107.520492,41.503409
-1.94925433,57.58331227,107.521354,41.503581
-1.84043841,57.58328233,322.561334,83.006727
-1.94988316,57.58317752,430.082210,83.006859
-1.84787689,57.58309796,3763.232293,278.292200
-1.94355003,57.58311015,430.084197,104.501275
-1.95043113,57.58301582,537.603338,115.248583
-1.94395427,57.58304277,107.520349,41.503397
-1.93782979,57.58317897,1666.568499,209.002353
-1.94287630,57.58290803,430.086568,83.007294
-1.93657192,57.58305176,2688.023632,342.775320
-1.95161990,57.58265350,322.565669,83.007464
-1.93344399,57.58263853,215.045463,61.512981
-1.95221878,57.58241395,215.047378,62.998870
-1.93583949,57.58235407,322.568303,83.007833
-1.93149015,57.58232412,430.091023,112.278636
-1.95320692,57.58214446,107.522983,41.503924
-1.94705346,57.58214446,161.284774,52.251444
-1.95334167,57.58205463,53.761923,30.756653
-1.94732296,57.58205463,53.762521,30.756772
-1.95365608,57.58196480,107.523510,41.504029
-1.87778914,57.58190725,3440.782260,293.501223
-1.94149888,57.58190491,322.573451,83.008360
-1.94381953,57.58178513,53.762318,30.756731
-1.86139910,57.58169530,107.524300,41.504187
-1.87613147,57.58133598,107.525354,41.504398
-1.87595181,57.58124614,107.526814,41.504673
-1.94239144,57.58121620,2096.761125,281.270899
-1.94092995,57.58109642,322.580563,83.009308
-1.87535293,57.58109642,322.580563,83.009308
-1.93952259,57.58099162,645.161773,123.027662
-1.94919897,57.58084190,4623.680043,324.263764
-1.90328947,57.58087719,1505.382167,261.263255
-1.83795307,57.58079699,107.526934,41.504714
-1.94691871,57.58070716,215.056789,63.000757
-1.90411399,57.58070716,161.292293,52.252814
-1.94553449,57.58120589,16559.061990,837.866911
-1.87362097,57.58049595,5053.836126,456.555457
-1.83743654,57.58040237,3010.805711,301.283557
-1.85006536,57.58057241,967.755517,176.767785
-1.94800438,57.58120001,5967.711885,659.614153
-1.95138035,57.58024602,1612.943210,198.264910
-1.94835602,57.58034783,107.529448,41.505200
-1.85061932,57.58030291,430.118320,83.010453
-1.97404784,57.58021308,430.116980,83.010335
-1.90579833,57.58028045,215.058693,72.262416
-1.85133348,57.58004689,1075.297322,198.265320
-1.85196679,57.57976392,430.122248,83.010862
-1.84136667,57.57949443,645.188113,104.507661
-1.85280169,57.57946008,1828.034099,261.269286
-1.84248058,57.57928782,1075.320776,146.013836
-1.83864456,57.57905258,4623.908637,455.076559
-1.85367359,57.57913510,430.129623,83.011600
-1.84411619,57.57890473,5000.287078,341.308220
-1.85562790,57.57867926,2527.050725,305.754787
-1.83976590,57.57850996,6559.595741,582.574510
-1.84334296,57.57848382,430.137261,103.021577
-1.83732425,57.57841645,430.138051,83.012442
-1.89176216,57.57837154,107.535243,41.506359
-1.89194182,57.57828170,107.534309,41.506189
-1.83786324,57.57828170,107.534309,41.506189
-1.95766415,57.57789331,1828.114591,264.253067
-1.95913580,57.57774271,107.535890,41.506505
-1.84133574,57.57805197,6559.678855,559.592714
-1.88279825,57.57770422,376.378104,83.013272
-1.98589974,57.57736972,2473.364984,238.292197
-1.84199549,57.57720373,215.074940,63.004655
-1.97582201,57.57709144,215.078592,72.265322
-1.87078649,57.57706898,322.616588,72.265229
-1.84320280,57.57758199,8925.574826,659.641860
-1.85263411,57.57581775,752.795525,126.012900
-1.87685012,57.57518252,430.175979,83.016235
