,ID,X,Time,PopBio,Temp,Time_units,PopBio_units,Species,Medium,Rep,Citation
1878,"Tetraselmis tetrahele_5_ESAW_Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",1,13.4556726930846,1193.40874330466,5,Hours,N,Tetraselmis tetrahele,ESAW,1,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697."
1879,"Tetraselmis tetrahele_5_ESAW_Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",2,82.6930071977933,411.917860860587,5,Hours,N,Tetraselmis tetrahele,ESAW,1,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697."
1880,"Tetraselmis tetrahele_5_ESAW_Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",3,156.445820039766,145.712799310917,5,Hours,N,Tetraselmis tetrahele,ESAW,1,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697."
1881,"Tetraselmis tetrahele_5_ESAW_Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",4,246.755386785038,1267.46579050268,5,Hours,N,Tetraselmis tetrahele,ESAW,1,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697."
1882,"Tetraselmis tetrahele_5_ESAW_Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",5,299.435967386446,2977.44968211122,5,Hours,N,Tetraselmis tetrahele,ESAW,1,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697."
1883,"Tetraselmis tetrahele_5_ESAW_Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",6,419.848723046809,8378.94386332962,5,Hours,N,Tetraselmis tetrahele,ESAW,1,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697."
1884,"Tetraselmis tetrahele_5_ESAW_Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",7,588.426580971317,14618.8616719852,5,Hours,N,Tetraselmis tetrahele,ESAW,1,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697."
1885,"Tetraselmis tetrahele_5_ESAW_Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",8,752.488960558562,16899.5073747353,5,Hours,N,Tetraselmis tetrahele,ESAW,1,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697."
1886,"Tetraselmis tetrahele_5_ESAW_Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",9,829.252092292043,14891.9609331239,5,Hours,N,Tetraselmis tetrahele,ESAW,1,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697."
1887,"Tetraselmis tetrahele_5_ESAW_Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",10,949.664847952406,19699.6643755473,5,Hours,N,Tetraselmis tetrahele,ESAW,1,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697."
