"","Type.of.feeding.interaction","Predator.lifestage","intercept","slope"
"1","insectivorous","larva / juvenile",-3.45975627178893,81.1591380069622
"2","piscivorous","adult",18859.8842209802,59.1262314720646
"3","piscivorous","juvenile",5510.17020640088,10.2848479190317
"4","piscivorous","larva / juvenile",9.86483143239672,172.511898493461
"5","piscivorous","postlarva",0.0382407206914082,0.582050921513236
"6","piscivorous","postlarva/juvenile",1.28,NA
"7","planktivorous","adult",26967.7354654314,152.795681507931
"8","planktivorous","juvenile",2.25196721311474,6557.37704918046
"9","planktivorous","larva",0.149952307811492,-0.125540385475094
"10","planktivorous","larva / juvenile",0.412017531898669,100348.136755092
"11","planktivorous","postlarva/juvenile",0.153516129748767,21012.870102476
"12","predacious","adult",14022.5769795346,86.6733851893621
"13","predacious","juvenile",1477.0669778648,72.5276909974529
"14","predacious","larva",0.107758676365578,16253.0221597406
"15","predacious","larva / juvenile",1.51278179933139,164.216226022138
"16","predacious","postlarva",0.133502073567387,-0.00861452759101591
"17","predacious","postlarva/juvenile",0.565541752418578,1.74618988244161
"18","predacious/piscivorous","adult",503.058942134918,11.949120671082
